,Brand,Model,Color,Processor,RAM,Battery,Camera,Display,Warranty,originalPrice,discountPercent,discountedPrice,rating,reviews
0,REDMI,"9i Sport (Metallic Blue, 64 GB)",Metallic Blue,MediaTek Helio G25 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Li-Polymer Battery,13MP Rear Camera | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹9,999",12% off,"₹8,799",4.4,"40,454 Ratings & 2,049 Reviews"
1,REDMI,"9i Sport (Coral Green, 64 GB)",Coral Green,MediaTek Helio G25 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Li-Polymer Battery,13MP Rear Camera | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹9,999",12% off,"₹8,799",4.4,"40,454 Ratings & 2,049 Reviews"
2,realme,"Narzo 50A (Oxygen Blue, 128 GB)",Oxygen Blue,MediaTek Helio G85 Processor,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,6000 mAh Battery,50MP + 2MP + 2MP | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹13,999",10% off,"₹12,499",4.4,"2,05,217 Ratings & 12,519 Reviews"
3,realme,"Narzo 50A (Oxygen Green, 64 GB)",Oxygen Green,MediaTek Helio G85 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6000 mAh Battery,50MP + 2MP + 2MP | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹12,999",11% off,"₹11,499",4.4,"2,05,217 Ratings & 12,519 Reviews"
4,REDMI,"9i Sport (Carbon Black, 64 GB)",Carbon Black,MediaTek Helio G25 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Li-Polymer Battery,13MP Rear Camera | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹9,999",12% off,"₹8,799",4.4,"40,454 Ratings & 2,049 Reviews"
5,APPLE,"iPhone SE (Red, 64 GB)",Red,A13 Bionic Chip with 3rd Gen Neural Engine Processor,64 GB ROM,5000 mAh Battery,12MP Rear Camera | 7MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,Brand Warranty of 1 Year,"₹39,900",29% off,"₹27,999",4.5,"1,41,420 Ratings & 11,248 Reviews"
6,realme,"8i (Space Black, 128 GB)",Space Black,MediaTek Helio G96 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,50MP + 2MP + 2MP | 16MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹17,999",11% off,"₹15,999",4.4,"51,394 Ratings & 3,473 Reviews"
7,realme,"C21Y (Cross Black, 64 GB)",Cross Black,Unisoc T610 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,13MP + 2MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹10,999",4% off,"₹10,499",4.5,"2,09,603 Ratings & 7,865 Reviews"
8,realme,"C21Y (Cross Black, 32 GB)",Cross Black,Unisoc T610 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,13MP + 2MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹9,999",5% off,"₹9,499",4.6,"42,648 Ratings & 1,311 Reviews"
9,realme,"C21Y (Cross Blue, 64 GB)",Cross Blue,Unisoc T610 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Lithium-ion Polymer Battery,13MP + 2MP + 2MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹10,999",4% off,"₹10,499",4.5,"2,09,603 Ratings & 7,865 Reviews"
10,POCO,"C31 (Shadow Gray, 64 GB)",Shadow Gray,MediaTek Helio G35 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Battery,13MP + 2MP + 2MP | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,"1 Year Warranty for Handset, 6 Months for Accessories","₹11,999",25% off,"₹8,999",4.4,"14,597 Ratings & 782 Reviews"
11,realme,"8i (Space Black, 64 GB)",Space Black,MediaTek Helio G96 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Lithium-ion Polymer Battery,50MP + 2MP + 2MP | 16MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹15,999",12% off,"₹13,999",4.5,"1,24,904 Ratings & 7,429 Reviews"
12,POCO,"C31 (Royal Blue, 32 GB)",Royal Blue,MediaTek Helio G35 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,5000 mAh Lithium-ion Polymer Battery,13MP + 2MP + 2MP | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,"1 Year Warranty for Handset, 6 Months for Accessories","₹10,999",27% off,"₹7,999",4.4,"13,831 Ratings & 802 Reviews"
13,POCO,"C31 (Shadow Gray, 32 GB)",Shadow Gray,MediaTek Helio G35 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,5000 mAh Battery,13MP + 2MP + 2MP | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,"1 Year Warranty for Handset, 6 Months for Accessories","₹10,999",27% off,"₹7,999",4.4,"13,831 Ratings & 802 Reviews"
14,realme,"8i (Space Purple, 128 GB)",Space Purple,MediaTek Helio G96 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,6000 mAh Battery,50MP + 2MP + 2MP | 16MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹17,999",11% off,"₹15,999",4.4,"51,394 Ratings & 3,473 Reviews"
15,MOTOROLA,"G60 (Frosted Champagne, 128 GB)",Frosted Champagne,Qualcomm Snapdragon 732G Processor,6 GB RAM | 128 GB ROM,5000 mAh Battery,108MP + 8MP + 2MP | 32MP Front Camera,17.22 cm (6.78 inch) Full HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹21,999",22% off,"₹16,999",4.2,"78,297 Ratings & 8,004 Reviews"
16,realme,"C11 2021 (Cool Blue, 32 GB)",Cool Blue,Octa-core Processor,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹7,999",6% off,"₹7,499",4.4,"1,53,727 Ratings & 6,895 Reviews"
17,realme,"C11 2021 (Cool Grey, 32 GB)",Cool Grey,Octa-core Processor,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹7,999",6% off,"₹7,499",4.4,"1,53,727 Ratings & 6,895 Reviews"
18,realme,"C11 2021 (Cool Blue, 64 GB)",Cool Blue,Octa-core Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh Battery,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹9,999",10% off,"₹8,999",4.3,"1,32,714 Ratings & 7,399 Reviews"
19,realme,"C11 2021 (Cool Grey, 64 GB)",Cool Grey,Octa-core Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5000 mAh LiPo Battery,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹9,999",10% off,"₹8,999",4.3,"1,32,714 Ratings & 7,399 Reviews"
20,MOTOROLA,"g31 (Baby Blue, 64 GB)",Baby Blue,Mediatek Helio G85 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,50MP + 8MP + 2MP | 13MP Front Camera,16.43 cm (6.47 inch) Full HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,"₹13,999",7% off,"₹12,999",4.3,"3,423 Ratings & 551 Reviews"
21,realme,"Narzo 50i (Mint Green, 32 GB)",Mint Green,SC9863A Processor,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5000 mAh Lithium ion Battery,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹7,999",6% off,"₹7,499",4.5,"57,306 Ratings & 1,974 Reviews"
22,realme,"9i (Prism Blue, 64 GB)",Prism Blue,Qualcomm Snapdragon 680 (SM6225) Processor,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,50MP + 2MP + 2MP | 16MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,1 Year Warranty for Mobile and 6 Months for Accessories,"₹15,999",12% off,"₹13,999",4.5,380 Ratings & 37 Reviews
